Country,Category,Player,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,Matches
Algeria,all_competitions,Sofiane Feghouli,MF,36-170,0.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Samir Chergui,DF,27-128,0.8,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adam Ounas,"FW,MF",29-215,0.7,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Yacine Brahimi,MF,36-126,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Kévin Van Den Kerkhof,"DF,MF",30-092,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Mehdi Dorval,"DF,MF",25-125,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ahmed Touba,DF,28-094,0.6,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Oussama Benbot,GK,31-246,0.5,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Islam Slimani,FW,37-361,0.4,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Farés Ghedjemis,"FW,MF",23-281,0.3,1,,,,,,,,0,0,Matches
Algeria,all_competitions,Monsef Bakrar,FW,25-152,0.3,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Adil Aouchiche,MF,23-334,0.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Amin Chiakha,FW,20-094,0.2,0,,,,,,,,0,0,Matches
Algeria,all_competitions,Ilan Kebbal,"FW,MF",27-340,0.1,0,,,,,,,,0,0,Matches
Argentina,all_competitions,Thiago Almada,"MF,FW",25-049,2.7,1,,,,,,,,0,0,Matches
Argentina,all_competitions,Nicolás Otamendi,DF,38-122,2.3,1,,,,,,,,1,1,Matches
Argentina,all_competitions,Cristian Romero,DF,28-048,2.8,0,,,,,,,,0,0,Matches
Argentina,all_competitions,Giuliano Simeone,MF,23-178,2.3,1,,,,,,,,0,0,Matches
Argentina,all_competitions,Enzo Fernández,MF,25-148,2.2,1,,,,,,,,0,0,Matches
