player,position,age,mp,starts,minutes,gls,ast,crdY,crdR,team,archivo_origen,number,club,birth_date,min,city_id,latitude,longitude,altitude_meters,id,team_name,league,matches_played,shots,goals,xg_for,fifa_code,iso2_code,city_name,country,venue_name,region_cluster,airport_code,match_number,home_team_id,away_team_id,stage_id,kickoff_at,match_label,birth_place,stadium_id,stadium_name,filename,group_letter,is_placeholder,nationality_name,nation_team_id,stage_name,stage_order,group,rank,w,d,l,gf,ga,gd,pts,last_5,team_code
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,45.0,Lecce,Serie A,38.0,97.0,28.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,46.0,Leeds United,Premier League,38.0,151.0,48.0,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,47.0,Lens,Ligue 1,34.0,189.0,65.0,33.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,48.0,Levante,La Liga,38.0,147.0,47.0,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,49.0,Leverkusen,Bundesliga,34.0,176.0,67.0,34.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,50.0,Lille,Ligue 1,34.0,157.0,51.0,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,51.0,Liverpool,Premier League,38.0,175.0,61.0,29.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,52.0,Lorient,Ligue 1,34.0,134.0,47.0,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,53.0,Lyon,Ligue 1,34.0,159.0,52.0,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,fbref_squad_stats.csv,,,,,,,,,54.0,Mainz 05,Bundesliga,34.0,141.0,44.0,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
